"Shortage reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Shortage status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Anticipated start date","Actual start date","Estimated end date","Actual end date",Reason,"Date Created","Date Updated","Tier 3"
234268,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"JB0049 (250 mL)","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2024-07-23,2024-07-23,2024-11-30,2024-11-30,"Disruption of the manufacture of the drug.",2024-08-01,2024-12-02,No
235026,00060208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE INJECTION, USP","SODIUM CHLORIDE",900MG,"JB0043P	MINIBAG PLUS 0.9%NACL 100ML","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,B05XA,"I.V. SOLUTION ADDITIVES",2024-08-09,2024-08-09,2024-11-30,2024-11-30,"Disruption of the manufacture of the drug.",2024-08-09,2024-12-02,No
90888,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","0.9% Sodium Chloride Irrigation, USP","SODIUM CHLORIDE",900MG,"500 mL",IRRIGATION,Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2019-08-06,2019-08-06,2019-12-05,2019-12-05,"Shortage of an active ingredient.",2019-08-06,2019-12-06,No
106077,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE IRRIGATION, USP","SODIUM CHLORIDE",900MG,"1000 mL (2B7231)",IRRIGATION,Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2020-02-13,2020-02-13,2020-03-09,2020-03-09,"Demand increase for the drug.",2020-02-13,2020-03-10,No
151185,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE IRRIGATION, USP","SODIUM CHLORIDE",900MG,"500 mL (JF7123)","IRRIGATION; IRRIGATION",Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2021-12-22,2021-12-22,2022-02-11,2022-02-09,"Disruption of the manufacture of the drug.",2021-12-15,2022-02-10,No
151188,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE IRRIGATION, USP","SODIUM CHLORIDE",900MG,"1000 mL (JF7124)","IRRIGATION; IRRIGATION",Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2021-12-29,2021-12-29,2022-02-11,2022-02-09,"Disruption of the manufacture of the drug.",2021-12-15,2022-02-10,No
174645,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","Sodium Chloride Irrigation","SODIUM CHLORIDE",900MG,"500 mL (JF7123)","IRRIGATION; IRRIGATION",Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2022-11-14,2022-11-14,2022-11-30,2022-11-30,"Disruption of the manufacture of the drug.",2022-11-14,2022-12-01,No
174648,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","Sodium Chloride Irrigation","SODIUM CHLORIDE",900MG,"1000 mL (JF7124)","IRRIGATION; IRRIGATION",Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2022-11-14,2022-11-14,2022-11-30,2022-11-30,"Disruption of the manufacture of the drug.",2022-11-14,2022-12-01,No
181191,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE IRRIGATION, USP","SODIUM CHLORIDE",900MG,1000ML,"IRRIGATION; IRRIGATION",Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2023-01-16,2023-01-16,2023-03-30,2023-03-30,"Disruption of the manufacture of the drug.",2023-01-16,2023-03-31,No
181393,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","0.9% SODIUM CHLORIDE IRRIGATION, USP","SODIUM CHLORIDE",900MG,"500 mL","IRRIGATION; IRRIGATION",Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2023-01-18,2023-01-18,2023-03-30,2023-03-30,"Disruption of the manufacture of the drug.",2023-01-18,2023-03-31,No
253468,00786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP","BAXTER CORPORATION","0.9% Sodium Chloride Irrigation USP","SODIUM CHLORIDE",900MG,2B7231,"IRRIGATION; IRRIGATION",Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2025-03-26,2025-03-26,2025-11-30,2025-11-30,"Disruption of the manufacture of the drug.",2025-03-26,2025-12-01,No
118645,00783633,Shortage,"1.6% SODIUM CHLORDIE PROCESSING SOLUTION","BAXTER CORPORATION","1.6% SODIUM CHLORDIE PROCESSING SOLUTION","SODIUM CHLORIDE",1.6G,"2000 mL (4B7871)","IRRIGATION; IRRIGATION",Resolved,"SOLUTION; SOLUTION",B05CB,"IRRIGATING SOLUTIONS",2020-06-22,2020-06-22,2021-02-19,2021-02-19,"Demand increase for the drug.",2020-06-22,2021-02-20,No
