"Shortage reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Shortage status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Anticipated start date","Actual start date","Estimated end date","Actual end date",Reason,"Date Created","Date Updated","Tier 3"
210449,02541041,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",,2.5MG,"3 mL single-dose vial",SUBCUTANEOUS,Resolved,SOLUTION,A10BX,,,2023-11-16,2024-06-17,2024-06-17,"Other (Please describe in comments)",2023-11-17,2024-06-18,No
210452,02541068,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",,5MG,"3 mL single-dose vial",SUBCUTANEOUS,Resolved,SOLUTION,A10BX,,2023-11-23,2023-11-23,2024-06-17,2024-06-17,"Other (Please describe in comments)",2023-11-17,2024-06-18,No
210455,02541076,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",,7.5MG,"3 mL single-dose vial",SUBCUTANEOUS,Resolved,SOLUTION,A10BX,,,2023-11-13,2024-09-03,2024-08-30,"Other (Please describe in comments)",2023-11-17,2024-09-03,No
210458,02541084,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",,10MG,"3 mL single-dose vial",SUBCUTANEOUS,Resolved,SOLUTION,A10BX,,2023-12-12,2023-12-04,2024-09-03,2024-08-30,"Other (Please describe in comments)",2023-11-17,2024-08-31,No
210461,02541092,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",,12.5MG,"3 mL single-dose vial",SUBCUTANEOUS,Resolved,SOLUTION,A10BX,,2023-12-15,2023-12-15,2024-12-02,2024-12-02,"Other (Please describe in comments)",2023-11-17,2024-12-03,No
210464,02541106,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",,15MG,"3 mL single-dose vial",SUBCUTANEOUS,Resolved,SOLUTION,A10BX,,2023-12-03,2023-12-04,2024-12-02,2024-12-02,"Other (Please describe in comments)",2023-11-17,2024-12-03,No
248601,02541106,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",TIRZEPATIDE,15MG,"3 mL single-dose vial",SUBCUTANEOUS,"Actual shortage",SOLUTION,A10BX,,,2025-01-22,,,"Other (Please describe in comments)",2025-01-27,2025-10-15,No
249489,02541076,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",TIRZEPATIDE,7.5MG,"3 mL single-dose vial",SUBCUTANEOUS,"Actual shortage",SOLUTION,A10BX,,2025-03-05,2025-03-05,,,"Other (Please describe in comments)",2025-02-03,2025-10-15,No
249492,02541084,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",TIRZEPATIDE,10MG,"3 mL single-dose vial",SUBCUTANEOUS,"Actual shortage",SOLUTION,A10BX,,2025-04-02,2025-03-17,,,"Other (Please describe in comments)",2025-02-03,2025-10-15,No
249495,02541092,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",TIRZEPATIDE,12.5MG,"3 mL single-dose vial",SUBCUTANEOUS,"Actual shortage",SOLUTION,A10BX,,2025-04-26,2025-04-03,,,"Other (Please describe in comments)",2025-02-03,2025-10-15,No
257321,02541041,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",TIRZEPATIDE,2.5MG,"3 mL single-dose vial",SUBCUTANEOUS,"Actual shortage",SOLUTION,A10BX,,2025-10-03,2025-10-01,,,"Other (Please describe in comments)",2025-05-14,2025-10-15,No
263767,02541068,Shortage,MOUNJARO,"ELI LILLY CANADA INC","tirzepatide injection",TIRZEPATIDE,5MG,"3 mL single-dose vial",SUBCUTANEOUS,"Actual shortage",SOLUTION,A10BX,,2025-09-30,2025-10-01,,,"Other (Please describe in comments)",2025-07-29,2025-10-15,No
207114,02459132,Shortage,MOVAPO,"PALADIN LABS INC.","APOMORPHINE HYDROCHLORIDE","APOMORPHINE HYDROCHLORIDE",10MG,"30MG/3ML PRE-FILLED PEN","SUBCUTANEOUS; SUBCUTANEOUS","Actual shortage",SOLUTION,N04BC,,2023-10-01,,,,"Disruption of the manufacture of the drug.",2023-10-16,2023-10-16,No
166431,02359499,Shortage,MOVIPREP,"ARALEZ PHARMACEUTICALS CANADA INC","Macrogol 3350, Sodium sulphate anhydrous, Sodium chloride,  Potassium chloride, Ascorbic acid, Sodium ascorbate","ASCORBIC ACID; SODIUM ASCORBATE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS; POLYETHYLENE GLYCOL 3350","4.7G; 5.9G; 1.015G; 2.691G; 7.5G; 100G","cartons containing 2 sachets A and 2 sachets B","ORAL; ORAL",Resolved,"POWDER FOR SOLUTION",A06AD,"DRUGS FOR CONSTIPATION",,2022-08-10,,2022-09-30,"Requirements related to complying with good manufacturing practices.",2022-08-10,2022-10-01,No
26211,02410303,Shortage,MOVISSE,"MYLAN PHARMACEUTICALS ULC",MOVISSE,NORETHINDRONE,0.35MG,28BL,ORAL,"Avoided shortage",TABLET,G03AC,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",2018-02-15,,,2018-02-09,"Delay in shipping of the drug.",2017-10-18,2018-02-09,No
84070,02410303,Shortage,MOVISSE,"MYLAN PHARMACEUTICALS ULC",NORETHINDRONE,NORETHINDRONE,0.35MG,28BL,ORAL,Resolved,TABLET,G03AC,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",2019-05-14,,,2019-08-30,"Requirements related to complying with good manufacturing practices.",2019-05-14,2019-08-31,No
91044,02410303,Shortage,MOVISSE,"MYLAN PHARMACEUTICALS ULC",NORETHINDRONE,NORETHINDRONE,0.35MG,"28 BL",ORAL,Resolved,TABLET,G03AC,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",,2019-08-06,2020-01-21,2020-01-22,"Delay in shipping of the drug.",2019-08-07,2020-01-23,No
104691,02410303,Shortage,MOVISSE,"MYLAN PHARMACEUTICALS ULC",NORETHINDRONE,NORETHINDRONE,0.35MG,28BL,ORAL,Resolved,TABLET,G03AC,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",,2020-01-27,2020-02-18,2020-02-25,"Delay in shipping of the drug.",2020-01-29,2020-02-26,No
109369,02410303,Shortage,MOVISSE,"MYLAN PHARMACEUTICALS ULC",NORETHINDRONE,NORETHINDRONE,0.35MG,28BL,ORAL,Resolved,TABLET,G03AC,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",,2020-03-20,2020-04-28,2020-04-28,"Demand increase for the drug.",2020-03-25,2020-04-29,No
151687,02410303,Shortage,MOVISSE,"MYLAN PHARMACEUTICALS ULC",NORETHINDRONE,NORETHINDRONE,0.35MG,28BL,"ORAL; ORAL",Resolved,TABLET,G03AC,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",,2021-12-17,2022-01-05,2021-12-30,"Demand increase for the drug.",2021-12-21,2022-01-04,No
162343,02410303,Shortage,MOVISSE,"MYLAN PHARMACEUTICALS ULC",NORETHINDRONE,NORETHINDRONE,0.35MG,28BL,"ORAL; ORAL",Resolved,TABLET,G03AC,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",2022-06-13,2022-05-31,,2022-07-06,"Disruption of the manufacture of the drug.",2022-06-09,2022-07-12,No
73443,02462974,Shortage,MOXIFLOXACIN,"PRO DOC LIMITEE",MOXIFLOXACIN,MOXIFLOXACIN,400MG,30,ORAL,Resolved,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",,2019-01-24,2019-07-30,2019-07-30,"Delay in shipping of the drug.",2019-01-24,2019-07-31,No
183506,02462974,Shortage,MOXIFLOXACIN,"PRO DOC LIMITEE",MOXIFLOXACIN,MOXIFLOXACIN,400MG,30,"ORAL; ORAL",Resolved,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",,2023-02-03,2023-05-17,2023-05-17,"Delay in shipping of the drug.",2023-02-03,2023-05-18,No
228981,02520710,Shortage,MOXIFLOXACIN,"SANIS HEALTH INC",MOXIFLOXACIN,MOXIFLOXACIN,400MG,30,ORAL,Resolved,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",2024-04-20,2024-05-02,2025-01-31,2025-01-29,"Disruption of the manufacture of the drug.",2024-05-28,2025-01-30,No
241981,02462974,Shortage,MOXIFLOXACIN,"PRO DOC LIMITEE",MOXIFLOXACIN,MOXIFLOXACIN,400MG,30,"ORAL; ORAL",Resolved,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",,2024-11-01,2025-03-29,2025-03-07,"Delay in shipping of the drug.",2024-11-04,2025-03-10,No
250601,02520710,Shortage,MOXIFLOXACIN,"SANIS HEALTH INC",MOXIFLOXACIN,MOXIFLOXACIN,400MG,30,ORAL,Resolved,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",,2025-02-18,2025-08-29,2025-08-29,"Disruption of the manufacture of the drug.",2025-02-18,2025-08-30,No
290636,02529076,Shortage,MOXIFLOXACIN,"SANIS HEALTH INC",MOXIFLOXACIN,MOXIFLOXACIN,0.5%,3ML,OPHTHALMIC,"Actual shortage",SOLUTION,S01AE,ANTIINFECTIVES,2026-08-01,2026-08-05,2026-09-25,,"Disruption of the manufacture of the drug.",2026-08-05,2026-08-18,No
115558,02433087,Shortage,"MOXIFLOXACIN INJECTION","FRESENIUS KABI CANADA LTD","Moxifloxacin Injection 400mg/250ml",MOXIFLOXACIN,400MG,"250 ml","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,J01MA,"QUINOLONE ANTIBACTERIALS",2020-05-21,2020-05-21,,2020-06-12,"Delay in shipping of the drug.",2020-05-21,2020-06-13,No
146725,02433087,Shortage,"MOXIFLOXACIN INJECTION","FRESENIUS KABI CANADA LTD","Moxifloxacin Injection 1.6 mg/mL freeflex® Bag 250 mL",MOXIFLOXACIN,400MG,"250 mL","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,J01MA,"QUINOLONE ANTIBACTERIALS",2021-10-05,2021-10-05,2022-01-17,2022-01-01,"Disruption of the manufacture of the drug.",2021-10-06,2022-01-06,No
152362,02433087,Shortage,"MOXIFLOXACIN INJECTION","FRESENIUS KABI CANADA LTD","Moxifloxacin Injection 1.6 mg/mL freeflex® Bag 250 mL",MOXIFLOXACIN,400MG,"250 mL","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,J01MA,"QUINOLONE ANTIBACTERIALS",,2021-10-05,2023-01-31,2022-11-30,"Disruption of the manufacture of the drug.",2022-01-07,2022-12-05,No
224325,02433087,Shortage,"MOXIFLOXACIN INJECTION","FRESENIUS KABI CANADA LTD","MOXIFLOXACIN INJECTION",MOXIFLOXACIN,400MG,"250 mL","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,J01MA,"QUINOLONE ANTIBACTERIALS",2024-05-01,,2024-09-16,2024-09-11,"Delay in shipping of the drug.",2024-04-04,2024-09-12,No
258830,02433087,Shortage,"MOXIFLOXACIN INJECTION","FRESENIUS KABI CANADA LTD","MOXIFLOXACIN INJECTION",MOXIFLOXACIN,400MG,250mL,"INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,J01MA,"QUINOLONE ANTIBACTERIALS",2025-08-01,,2026-07-30,2026-07-30,"Disruption of the manufacture of the drug.",2025-05-29,2026-07-31,No
118345,02377225,Shortage,MOZOBIL,"SANOFI-AVENTIS CANADA INC",Mozobil,PLERIXAFOR,20MG,1,"SUBCUTANEOUS; SUBCUTANEOUS",Resolved,SOLUTION,L03AX,IMMUNOSTIMULANTS,2020-06-19,,2020-06-26,2020-06-25,"Other (Please describe in comments)",2020-06-19,2020-06-26,No
125088,02377225,Shortage,MOZOBIL,"SANOFI-AVENTIS CANADA INC",Mozobil,PLERIXAFOR,20MG,"1 x 2.0ml","SUBCUTANEOUS; SUBCUTANEOUS","Avoided shortage",SOLUTION,L03AX,IMMUNOSTIMULANTS,2020-12-04,,,2020-11-25,"Other (Please describe in comments)",2020-09-25,2020-11-25,No
174235,02014297,Shortage,"MS CONTIN","PURDUE PHARMA","Morphine Sulfate Sustained Release Tablets","MORPHINE SULFATE",30MG,60,"ORAL; ORAL",Resolved,"TABLET (EXTENDED-RELEASE)",N02AA,OPIOIDS,2022-11-10,2022-11-10,2022-12-16,2022-12-07,"Delay in shipping of the drug.",2022-11-10,2022-12-08,No
174238,02014300,Shortage,"MS CONTIN","PURDUE PHARMA","Morphine Sulfate Sustained Release Tablets","MORPHINE SULFATE",60MG,60,"ORAL; ORAL",Resolved,"TABLET (EXTENDED-RELEASE)",N02AA,OPIOIDS,2022-11-10,2022-11-10,2022-12-16,2022-12-07,"Delay in shipping of the drug.",2022-11-10,2022-12-08,No
278891,02014300,Shortage,"MS CONTIN","PURDUE PHARMA","Morphine Sulfate Sustained Release Tablets","MORPHINE SULFATE",60MG,60,"ORAL; ORAL",Resolved,"TABLET (EXTENDED-RELEASE)",N02AA,OPIOIDS,,2026-02-24,2026-03-13,2026-03-10,"Other (Please describe in comments)",2026-02-24,2026-03-12,No
143634,02014319,Shortage,"MS CONTIN SRT 100MG","PURDUE PHARMA","Morphine Sulfate Sustained Release Tablets","MORPHINE SULFATE",100MG,60,"ORAL; ORAL",Resolved,"TABLET (EXTENDED-RELEASE)",N02AA,OPIOIDS,2021-08-04,2021-08-04,2021-10-08,2021-10-01,"Delay in shipping of the drug.",2021-08-05,2021-10-02,No
101855,02014254,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate","MORPHINE SULFATE",30MG,60,ORAL,Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2019-12-20,2019-12-20,2020-03-20,2020-03-17,"Disruption of the manufacture of the drug.",2019-12-20,2020-03-23,No
138789,02014254,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",30MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,,2021-05-04,2021-06-04,2021-05-28,"Delay in shipping of the drug.",2021-05-05,2021-05-29,No
140579,02014203,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",5MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2021-06-08,2021-06-08,2021-07-23,2021-07-15,"Delay in shipping of the drug.",2021-06-08,2021-07-16,No
143048,02014211,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Sustained Release Tablets","MORPHINE SULFATE",10MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2021-07-26,2021-07-26,2021-12-17,2021-12-09,"Requirements related to complying with good manufacturing practices.",2021-07-26,2021-12-10,No
145564,02014203,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",5MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2021-09-13,2021-09-13,2021-10-15,2021-10-07,"Delay in shipping of the drug.",2021-09-13,2021-10-08,No
145961,02014238,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",20MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2021-09-21,2021-09-21,2021-12-24,2021-12-17,"Delay in shipping of the drug.",2021-09-21,2021-12-18,No
150361,02014203,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",5MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2021-12-02,2021-12-02,2021-12-24,2021-12-21,"Delay in shipping of the drug.",2021-12-02,2021-12-22,No
156491,02014203,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",5MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2022-03-08,2022-03-08,2022-06-10,2022-05-17,"Delay in shipping of the drug.",2022-03-10,2022-05-18,No
179934,02014238,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",20MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2023-01-03,2023-01-03,2023-01-26,2023-01-23,"Delay in shipping of the drug.",2023-01-05,2023-01-24,No
222882,02014211,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",10MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2024-03-20,2024-03-20,2024-03-29,2024-03-27,"Delay in shipping of the drug.",2024-03-21,2024-03-28,No
234951,02014203,Shortage,MS.IR,"PURDUE PHARMA","Morphine Sulfate Immediate Release Tablets","MORPHINE SULFATE",5MG,60,"ORAL; ORAL",Resolved,"TABLET (IMMEDIATE RELEASE)",N02AA,OPIOIDS,2024-08-09,2024-08-09,2024-09-27,2024-09-10,"Demand increase for the drug.",2024-08-09,2024-09-11,No
68993,02330989,Shortage,MULTAQ,"SANOFI-AVENTIS CANADA INC","MULTAQ 400MG",DRONEDARONE,400MG,4X15,ORAL,Resolved,TABLET,C01BD,"ANTIARRHYTHMICS, CLASS I AND III",2018-12-21,,2019-01-31,2019-02-05,"Other (Please describe in comments)",2018-12-10,2019-02-06,No
142946,02330989,Shortage,MULTAQ,"SANOFI-AVENTIS CANADA INC",Multaq,DRONEDARONE,400MG,60,"ORAL; ORAL",Resolved,TABLET,C01BD,"ANTIARRHYTHMICS, CLASS I AND III",2021-07-24,,2021-11-30,2021-11-16,"Disruption of the manufacture of the drug.",2021-07-23,2021-11-17,No
222061,02330989,Shortage,MULTAQ,"SANOFI-AVENTIS CANADA INC",Multaq,DRONEDARONE,400MG,60,"ORAL; ORAL",Resolved,TABLET,C01BD,"ANTIARRHYTHMICS, CLASS I AND III",2024-03-13,2024-03-13,2024-04-23,2024-04-18,"Other (Please describe in comments)",2024-03-13,2024-04-19,No
149884,00586315,Shortage,"MULTI 1000","SANDOZ CANADA INCORPORATED","MULTI 1000","VITAMIN B6; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN E; VITAMIN D; VITAMIN A; ASCORBIC ACID; D-PANTOTHENIC ACID","1.2MG; 10MG; 1MG; 4.5MG; 1UNIT; 100UNIT; 1000UNIT; 100MG; 2.6MG",10LIVI,"INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,A11BA,"MULTIVITAMINS, PLAIN",,2021-11-24,2021-12-24,2021-12-19,"Demand increase for the drug.",2021-11-25,2021-12-20,No
179510,00586315,Shortage,"MULTI 1000","SANDOZ CANADA INCORPORATED","MULTI 1000","VITAMIN B6; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN E; VITAMIN D; VITAMIN A; ASCORBIC ACID; D-PANTOTHENIC ACID","1.2MG; 10MG; 1MG; 4.5MG; 1UNIT; 100UNIT; 1000UNIT; 100MG; 2.6MG",10ML,"INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,A11BA,"MULTIVITAMINS, PLAIN",,2022-12-20,2023-03-10,2023-02-23,"Disruption of the manufacture of the drug.",2022-12-28,2023-02-24,No
212448,00586315,Shortage,"MULTI 1000","SANDOZ CANADA INCORPORATED","MULTI 1000","VITAMIN B6; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN E; VITAMIN D; VITAMIN A; ASCORBIC ACID; D-PANTOTHENIC ACID","1.2MG; 10MG; 1MG; 4.5MG; 1UNIT; 100UNIT; 1000UNIT; 100MG; 2.6MG","10ML 10LIVI","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,A11BA,"MULTIVITAMINS, PLAIN",,2023-12-04,2024-03-29,2024-01-16,"Requirements related to complying with good manufacturing practices.",2023-12-04,2024-01-17,No
216971,00586315,Shortage,"MULTI 1000","SANDOZ CANADA INCORPORATED","MULTI 1000","VITAMIN B6; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN E; VITAMIN D; VITAMIN A; ASCORBIC ACID; D-PANTOTHENIC ACID","1.2MG; 10MG; 1MG; 4.5MG; 1UNIT; 100UNIT; 1000UNIT; 100MG; 2.6MG",10LIVI,"INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,A11BA,"MULTIVITAMINS, PLAIN",,2024-01-23,2024-03-29,2024-04-05,"Requirements related to complying with good manufacturing practices.",2024-01-22,2024-04-06,No
286292,02100606,Shortage,"MULTI 12","SANDOZ CANADA INCORPORATED","MULTI 12","VITAMIN A; NICOTINAMIDE; PYRIDOXINE HYDROCHLORIDE; ASCORBIC ACID; DEXPANTHENOL; FOLIC ACID; VITAMIN E; BIOTIN; VITAMIN B1; VITAMIN B12; VITAMIN D; VITAMIN B2","660UNIT; 8MG; 0.8MG; 20MG; 3MG; 80MCG; 2UNIT; 12MCG; 0.6MG; 1MCG; 40UNIT; 0.72MG",10,"INTRAVENOUS; INTRAVENOUS","Actual shortage","SOLUTION; LIQUID",B05XC,"I.V. SOLUTION ADDITIVES",,2026-05-29,,,"Other (Please describe in comments)",2026-06-04,2026-06-04,No
100121,02100606,Shortage,"MULTI 12 INJECTION","SANDOZ CANADA INCORPORATED",MULTI-12,"VITAMIN B1; VITAMIN B2; BIOTIN; FOLIC ACID; DEXPANTHENOL; PYRIDOXINE HYDROCHLORIDE; NICOTINAMIDE; VITAMIN C; VITAMIN E; VITAMIN D; VITAMIN A; VITAMIN B12","0.6MG; 0.72MG; 12MCG; 80MCG; 3MG; 0.8MG; 8MG; 20MG; 2UNIT; 40UNIT; 660UNIT; 1MCG","10 Vials",INTRAVENOUS,Resolved,LIQUID,B05XC,"I.V. SOLUTION ADDITIVES",,2019-12-02,2019-12-18,2019-12-23,"Demand increase for the drug.",2019-12-03,2019-12-24,No
129582,02100606,Shortage,"MULTI 12 INJECTION","SANDOZ CANADA INCORPORATED","MULTI 12 INJECTION","ASCORBIC ACID; VITAMIN A; VITAMIN D; VITAMIN B1; VITAMIN B2; NICOTINAMIDE; PYRIDOXINE HYDROCHLORIDE; DEXPANTHENOL; VITAMIN E; BIOTIN; FOLIC ACID; VITAMIN B12","20MG; 660UNIT; 40UNIT; 0.6MG; 0.72MG; 8MG; 0.8MG; 3MG; 2UNIT; 12MCG; 80MCG; 1MCG","10 vials of 25ml","INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05XC,"I.V. SOLUTION ADDITIVES",,2020-12-03,2022-07-08,2022-07-12,"Requirements related to complying with good manufacturing practices.",2020-12-04,2022-07-13,No
148851,02100606,Shortage,"MULTI 12 INJECTION","SANDOZ CANADA INCORPORATED","MULTI 12 INJECTION","VITAMIN B12; FOLIC ACID; BIOTIN; VITAMIN E; DEXPANTHENOL; PYRIDOXINE HYDROCHLORIDE; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN D; VITAMIN A; ASCORBIC ACID","1MCG; 80MCG; 12MCG; 2UNIT; 3MG; 0.8MG; 8MG; 0.72MG; 0.6MG; 40UNIT; 660UNIT; 20MG","2 x 5mL vial set","INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05XC,"I.V. SOLUTION ADDITIVES",,2021-11-04,2022-03-11,2022-03-14,"Disruption of the manufacture of the drug.",2021-11-04,2022-03-15,No
148854,02100606,Shortage,"MULTI 12 INJECTION","SANDOZ CANADA INCORPORATED","MULTI 12 INJECTION","VITAMIN B12; FOLIC ACID; BIOTIN; VITAMIN E; DEXPANTHENOL; PYRIDOXINE HYDROCHLORIDE; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN D; VITAMIN A; ASCORBIC ACID","1MCG; 80MCG; 12MCG; 2UNIT; 3MG; 0.8MG; 8MG; 0.72MG; 0.6MG; 40UNIT; 660UNIT; 20MG","2 x 25mL vial set","INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05XC,"I.V. SOLUTION ADDITIVES",,2021-11-04,2022-07-29,2022-08-04,"Disruption of the manufacture of the drug.",2021-11-04,2022-08-05,No
168548,02100606,Shortage,"MULTI 12 INJECTION","SANDOZ CANADA INCORPORATED",MULTI-12,"VITAMIN B12; FOLIC ACID; BIOTIN; VITAMIN E; DEXPANTHENOL; PYRIDOXINE HYDROCHLORIDE; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN D; VITAMIN A; ASCORBIC ACID","1MCG; 80MCG; 12MCG; 2UNIT; 3MG; 0.8MG; 8MG; 0.72MG; 0.6MG; 40UNIT; 660UNIT; 20MG",5ML,"INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05XC,"I.V. SOLUTION ADDITIVES",,2022-12-12,2023-02-17,2023-03-03,"Disruption of the manufacture of the drug.",2022-09-02,2023-03-06,No
178666,02100606,Shortage,"MULTI 12 INJECTION","SANDOZ CANADA INCORPORATED","MULTI 12","VITAMIN B12; FOLIC ACID; BIOTIN; VITAMIN E; DEXPANTHENOL; PYRIDOXINE HYDROCHLORIDE; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN D; VITAMIN A; ASCORBIC ACID","1MCG; 80MCG; 12MCG; 2UNIT; 3MG; 0.8MG; 8MG; 0.72MG; 0.6MG; 40UNIT; 660UNIT; 20MG",25ML,"INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05XC,"I.V. SOLUTION ADDITIVES",,2022-12-07,2023-03-10,2023-03-13,"Demand increase for the drug.",2022-12-16,2023-03-14,No
189909,02100606,Shortage,"MULTI 12 INJECTION","SANDOZ CANADA INCORPORATED","MULTI 12 INJECTION","VITAMIN B12; FOLIC ACID; BIOTIN; VITAMIN E; DEXPANTHENOL; PYRIDOXINE HYDROCHLORIDE; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN D; VITAMIN A; ASCORBIC ACID","1MCG; 80MCG; 12MCG; 2UNIT; 3MG; 0.8MG; 8MG; 0.72MG; 0.6MG; 40UNIT; 660UNIT; 20MG",5ML,"INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05XC,"I.V. SOLUTION ADDITIVES",,2023-04-20,2023-06-16,2023-05-01,"Disruption of the manufacture of the drug.",2023-04-20,2023-05-03,No
189913,02100606,Shortage,"MULTI 12 INJECTION","SANDOZ CANADA INCORPORATED","MULTI 12 INJECTION","VITAMIN B12; FOLIC ACID; BIOTIN; VITAMIN E; DEXPANTHENOL; PYRIDOXINE HYDROCHLORIDE; NICOTINAMIDE; VITAMIN B2; VITAMIN B1; VITAMIN D; VITAMIN A; ASCORBIC ACID","1MCG; 80MCG; 12MCG; 2UNIT; 3MG; 0.8MG; 8MG; 0.72MG; 0.6MG; 40UNIT; 660UNIT; 20MG",25ML,"INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05XC,"I.V. SOLUTION ADDITIVES",,2023-04-20,2023-05-19,2023-05-01,"Disruption of the manufacture of the drug.",2023-04-20,2023-05-03,No
