"Discontinuation reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Discontinuation status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Discontinuation date","Anticipated discontinuation date",Reason,"Date Created","Date Updated","Tier 3"
56652,02364220,Discontinuation,ABSTRAL,"PALADIN LABS INC",FENTANYL,FENTANYL,800MCG,"10 TABS",SUBLINGUAL,Discontinued,TABLET,N02AB,OPIOIDS,2018-07-24,2018-07-24,"Business reasons",2018-07-26,2018-07-26,No
4990,02303299,Discontinuation,"AC&C TABLETS","PHARMASCIENCE INC","ANALGESICS C.L.","ACETYLSALICYLIC ACID; CODEINE PHOSPHATE; CAFFEINE","375MG; 8MG; 15MG",100,ORAL,Discontinued,TABLET,N02AJ,,2017-03-30,,"Manufacturing issues",2017-03-31,2017-03-31,No
4993,02303299,Discontinuation,"AC&C TABLETS","PHARMASCIENCE INC","ANALGESICS C.L.","ACETYLSALICYLIC ACID; CODEINE PHOSPHATE; CAFFEINE","375MG; 8MG; 15MG",200,ORAL,Discontinued,TABLET,N02AJ,,2017-03-23,,"Manufacturing issues",2017-03-31,2017-03-31,No
6031,02303299,Discontinuation,"AC&C TABLETS","PHARMASCIENCE INC","ANALGESICS C.L.","ACETYLSALICYLIC ACID; CODEINE PHOSPHATE; CAFFEINE","375MG; 8MG; 15MG",100,ORAL,Discontinued,TABLET,N02AJ,,2017-03-23,,"Manufacturing issues",2017-04-07,2017-04-07,No
6035,02303299,Discontinuation,"AC&C TABLETS","PHARMASCIENCE INC","ANALGESICS C.L.","ACETYLSALICYLIC ACID; CODEINE PHOSPHATE; CAFFEINE","375MG; 8MG; 15MG",200,ORAL,Discontinued,TABLET,N02AJ,,2017-03-23,,"Manufacturing issues",2017-04-07,2017-04-07,No
19358,02236606,Discontinuation,"ACCOLATE TAB 20 MG","ASTRAZENECA CANADA INC","zafirlukast tablets",ZAFIRLUKAST,20MG,60,ORAL,Discontinued,TABLET,R03DC,"OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES",2018-01-02,2017-12-31,"Business reasons",2017-08-15,2018-01-08,No
73224,02286246,Discontinuation,ACEBUTOLOL,"SANIS HEALTH INC","ACEBUTOLOL TAB",,,100,,Discontinued,,,,2018-07-16,,"Business reasons",2019-01-22,2019-01-22,No
73228,02286254,Discontinuation,ACEBUTOLOL,"SANIS HEALTH INC","ACEBUTOLOL TAB",,,100,,Discontinued,,,,2018-07-16,,"Business reasons",2019-01-22,2019-01-22,No
73233,02286262,Discontinuation,ACEBUTOLOL,"SANIS HEALTH INC","ACEBUTOLOL TAB",,,100,,Discontinued,,,,2018-07-16,,"Business reasons",2019-01-22,2019-01-22,No
164641,02164426,Discontinuation,"ACEBUTOLOL - 400","PRO DOC LIMITEE","ACEBUTOLOL 400",ACEBUTOLOL,400MG,100,"ORAL; ORAL",Discontinued,TABLET,C07AB,"BETA BLOCKING AGENTS",2022-07-14,,"Business reasons",2022-07-14,2022-07-15,No
