"Discontinuation reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Discontinuation status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Discontinuation date","Anticipated discontinuation date",Reason,"Date Created","Date Updated","Tier 3"
6788,02307847,Discontinuation,MYLAN-QUETIAPINE,"MYLAN PHARMACEUTICALS ULC",QUETIAPINE,QUETIAPINE,300MG,100,ORAL,Discontinued,TABLET,N05AH,ANTIPSYCHOTICS,2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
16039,02408392,Discontinuation,MYLAN-RABEPRAZOLE,"MYLAN PHARMACEUTICALS ULC",RABEPRAZOLE,"RABEPRAZOLE SODIUM",10MG,100BT,ORAL,Discontinued,"TABLET (DELAYED-RELEASE)",A02BC,"DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD)",2017-12-01,2017-12-01,"Business reasons",2017-07-17,2018-02-15,No
16042,02408406,Discontinuation,MYLAN-RABEPRAZOLE,"MYLAN PHARMACEUTICALS ULC",RABEPRAZOLE,"RABEPRAZOLE SODIUM",20MG,100BT,ORAL,Discontinued,"TABLET (DELAYED-RELEASE)",A02BC,"DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD)",2017-07-12,,"Business reasons",2017-07-17,2018-02-15,No
6792,02301148,Discontinuation,MYLAN-RAMIPRIL,"MYLAN PHARMACEUTICALS ULC",RAMIPRIL,RAMIPRIL,1.25MG,100,ORAL,Discontinued,CAPSULE,C09AA,"ACE INHIBITORS, PLAIN",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6797,02301156,Discontinuation,MYLAN-RAMIPRIL,"MYLAN PHARMACEUTICALS ULC",RAMIPRIL,RAMIPRIL,2.5MG,"100 and 500",ORAL,Discontinued,CAPSULE,C09AA,"ACE INHIBITORS, PLAIN",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6801,02301164,Discontinuation,MYLAN-RAMIPRIL,"MYLAN PHARMACEUTICALS ULC",RAMIPRIL,RAMIPRIL,5.0MG,"100 and 500",ORAL,Discontinued,CAPSULE,C09AA,"ACE INHIBITORS, PLAIN",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6805,02301172,Discontinuation,MYLAN-RAMIPRIL,"MYLAN PHARMACEUTICALS ULC",RAMIPRIL,RAMIPRIL,10MG,"100 and 500",ORAL,Discontinued,CAPSULE,C09AA,"ACE INHIBITORS, PLAIN",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6808,02207761,Discontinuation,MYLAN-RANITIDINE,"MYLAN PHARMACEUTICALS ULC",RANITIDINE,RANITIDINE,150MG,"100 and 500",ORAL,Discontinued,TABLET,A02BA,"DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD)",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6811,02207788,Discontinuation,MYLAN-RANITIDINE,"MYLAN PHARMACEUTICALS ULC",RANITIDINE,RANITIDINE,300MG,100,ORAL,Discontinued,TABLET,A02BA,"DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD)",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
16049,02397773,Discontinuation,MYLAN-RISEDRONATE,"MYLAN PHARMACEUTICALS ULC",RISEDRONATE,"RISEDRONATE SODIUM",150MG,1BL,ORAL,Discontinued,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",2017-07-12,,"Business reasons",2017-07-17,2017-07-17,No
16151,02357984,Discontinuation,MYLAN-RISEDRONATE,"MYLAN PHARMACEUTICALS ULC",RISEDRONATE,"RISEDRONATE SODIUM",35MG,"30BT, 4BL",ORAL,Discontinued,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",2017-11-01,2017-11-01,"Business reasons",2017-07-18,2017-11-02,No
16154,02282240,Discontinuation,MYLAN-RISPERIDONE,"MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,0.25MG,100BT,ORAL,Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2018-02-01,2018-02-01,"Business reasons",2017-07-18,2018-02-15,No
16157,02282259,Discontinuation,MYLAN-RISPERIDONE,"MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,0.50MG,100BT,ORAL,Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2018-02-01,2018-02-02,"Business reasons",2017-07-18,2018-02-15,No
16160,02282267,Discontinuation,MYLAN-RISPERIDONE,"MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,1.0MG,100BT,ORAL,Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2017-09-07,,"Business reasons",2017-07-18,2017-09-08,No
16163,02282275,Discontinuation,MYLAN-RISPERIDONE,"MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,2.0MG,100BT,ORAL,Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2017-10-02,2017-09-30,"Business reasons",2017-07-18,2017-10-03,No
16166,02282283,Discontinuation,MYLAN-RISPERIDONE,"MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,3.0MG,100BT,ORAL,Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2017-10-02,2017-09-30,"Business reasons",2017-07-18,2017-10-03,No
16169,02282291,Discontinuation,MYLAN-RISPERIDONE,"MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,4.0MG,100BT,ORAL,Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2017-10-02,2017-09-30,"Business reasons",2017-07-18,2017-10-03,No
149759,02413485,Discontinuation,"MYLAN-RISPERIDONE ODT","MYLAN PHARMACEUTICALS ULC",Risperidone,RISPERIDONE,0.5MG,100BT,ORAL,Discontinued,"TABLET (ORALLY DISINTEGRATING)",N05AX,ANTIPSYCHOTICS,2021-11-15,,"Business reasons",2021-11-23,2021-11-23,No
149762,02413493,Discontinuation,"MYLAN-RISPERIDONE ODT","MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,1MG,100BT,ORAL,Discontinued,"TABLET (ORALLY DISINTEGRATING)",N05AX,ANTIPSYCHOTICS,2021-11-15,,"Business reasons",2021-11-23,2021-11-23,No
149765,02413507,Discontinuation,"MYLAN-RISPERIDONE ODT","MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,2MG,100BT,ORAL,Discontinued,"TABLET (ORALLY DISINTEGRATING)",N05AX,ANTIPSYCHOTICS,2021-11-15,,"Business reasons",2021-11-23,2021-11-23,No
149768,02413515,Discontinuation,"MYLAN-RISPERIDONE ODT","MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,3MG,100BT,ORAL,Discontinued,"TABLET (ORALLY DISINTEGRATING)",N05AX,ANTIPSYCHOTICS,2021-11-15,,"Business reasons",2021-11-23,2021-11-23,No
149771,02413523,Discontinuation,"MYLAN-RISPERIDONE ODT","MYLAN PHARMACEUTICALS ULC",RISPERIDONE,RISPERIDONE,4MG,100BT,ORAL,Discontinued,"TABLET (ORALLY DISINTEGRATING)",N05AX,ANTIPSYCHOTICS,2021-11-15,,"Business reasons",2021-11-23,2021-11-23,No
30342,02381273,Discontinuation,MYLAN-ROSUVASTATIN,"MYLAN PHARMACEUTICALS ULC",ROSUVASTATIN,ROSUVASTATIN,10MG,"30BL, 100BT, 500BT",ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2018-04-02,2018-06-01,"Business reasons",2017-11-23,2018-04-03,No
30350,02381303,Discontinuation,MYLAN-ROSUVASTATIN,"MYLAN PHARMACEUTICALS ULC",ROSUVASTATIN,ROSUVASTATIN,40MG,"30BL, 100BT",ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2018-05-01,2018-05-01,"Business reasons",2017-11-23,2018-05-02,No
30385,02381281,Discontinuation,MYLAN-ROSUVASTATIN,"MYLAN PHARMACEUTICALS ULC",ROSUVASTATIN,ROSUVASTATIN,20MG,"30BL, 100BT, 500BT",ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2018-07-03,2018-07-03,"Business reasons",2017-11-23,2018-07-04,No
44907,02381265,Discontinuation,MYLAN-ROSUVASTATIN,"MYLAN PHARMACEUTICALS ULC",ROSUVASTATIN,ROSUVASTATIN,5MG,"100 BT, 500 BT, 30 BL",ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2018-07-03,2018-07-03,"Business reasons",2018-04-04,2018-07-04,No
16054,02231036,Discontinuation,MYLAN-SELEGILINE,"MYLAN PHARMACEUTICALS ULC",SELEGILINE,"SELEGILINE HYDROCHLORIDE",5MG,60BT,ORAL,Discontinued,TABLET,N04BD,"DOPAMINERGIC AGENTS",2017-07-12,,"Business reasons",2017-07-17,2017-07-17,No
20295,02242520,Discontinuation,MYLAN-SERTRALINE,"MYLAN PHARMACEUTICALS ULC",SERTRALINE,SERTRALINE,50MG,"100BT, 500BT",ORAL,Discontinued,CAPSULE,N06AB,ANTIDEPRESSANTS,2018-03-01,2018-03-01,"Business reasons",2017-08-24,2018-03-02,No
30356,02242521,Discontinuation,MYLAN-SERTRALINE,"MYLAN PHARMACEUTICALS ULC",SERTRALINE,SERTRALINE,100MG,100BT,ORAL,Discontinued,CAPSULE,N06AB,ANTIDEPRESSANTS,2018-02-01,2018-02-01,"Business reasons",2017-11-23,2018-02-15,No
30397,02242519,Discontinuation,MYLAN-SERTRALINE,"MYLAN PHARMACEUTICALS ULC",SERTRALINE,SERTRALINE,25MG,100BT,ORAL,Discontinued,CAPSULE,N06AB,ANTIDEPRESSANTS,2018-02-01,2018-08-01,"Business reasons",2017-11-23,2018-02-15,No
94112,02246582,Discontinuation,MYLAN-SIMVASTATIN,"MYLAN PHARMACEUTICALS ULC",SIMVASTATIN,SIMVASTATIN,5MG,100BT,ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2019-09-17,,"Business reasons",2019-09-17,2019-09-18,No
94117,02246583,Discontinuation,MYLAN-SIMVASTATIN,"MYLAN PHARMACEUTICALS ULC",SIMVASTATIN,SIMVASTATIN,10MG,100BT,ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2019-09-17,,"Business reasons",2019-09-17,2019-09-18,No
94122,02246737,Discontinuation,MYLAN-SIMVASTATIN,"MYLAN PHARMACEUTICALS ULC",SIMVASTATIN,SIMVASTATIN,20MG,100BT,ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2019-09-17,,"Business reasons",2019-09-17,2019-09-18,No
94127,02246584,Discontinuation,MYLAN-SIMVASTATIN,"MYLAN PHARMACEUTICALS ULC",SIMVASTATIN,SIMVASTATIN,40MG,100BT,ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2019-09-17,,"Business reasons",2019-09-17,2019-09-18,No
94132,02246585,Discontinuation,MYLAN-SIMVASTATIN,"MYLAN PHARMACEUTICALS ULC",SIMVASTATIN,SIMVASTATIN,80MG,100BT,ORAL,Discontinued,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",2019-09-17,,"Business reasons",2019-09-17,2019-09-18,No
51618,02376717,Discontinuation,MYLAN-TELMISARTAN,"MYLAN PHARMACEUTICALS ULC",TELMISARTAN,TELMISARTAN,40MG,"100 BT, 28 BL",ORAL,Discontinued,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",2018-08-10,2018-08-10,"Business reasons",2018-06-06,2018-08-11,No
51624,02376725,Discontinuation,MYLAN-TELMISARTAN,"MYLAN PHARMACEUTICALS ULC",TELMISARTAN,TELMISARTAN,80MG,"100 BT, 28 BL",ORAL,Discontinued,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",2018-08-10,2018-08-10,"Business reasons",2018-06-06,2018-08-11,No
6814,02373564,Discontinuation,"MYLAN-TELMISARTAN HCTZ","MYLAN PHARMACEUTICALS ULC","TELMISARTAN HCTZ","HYDROCHLOROTHIAZIDE; TELMISARTAN","12.5MG; 80MG","28 Blister and 100 Bottle",ORAL,Discontinued,TABLET,C09DA,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6819,02373572,Discontinuation,"MYLAN-TELMISARTAN HCTZ","MYLAN PHARMACEUTICALS ULC","TELMISARTAN HCTZ","HYDROCHLOROTHIAZIDE; TELMISARTAN","25MG; 80MG","28 Blister and 100 Bottle",ORAL,Discontinued,TABLET,C09DA,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
155037,02404184,Discontinuation,"MYLAN-TOLTERODINE ER","MYLAN PHARMACEUTICALS ULC","TOLTERODINE TARTRATE CAPSULE","TOLTERODINE TARTRATE",2MG,"30BT, 100BT",ORAL,Discontinued,"CAPSULE (EXTENDED RELEASE)",G04BD,"OTHER UROLOGICALS, INCL ANTISPASMODICS",2022-02-14,,"Business reasons",2022-02-15,2022-02-15,No
155040,02404192,Discontinuation,"MYLAN-TOLTERODINE ER","MYLAN PHARMACEUTICALS ULC","TOLTERODINE TARTRATE","TOLTERODINE TARTRATE",4MG,"30BT, 100BT",ORAL,Discontinued,"CAPSULE (EXTENDED RELEASE)",G04BD,"OTHER UROLOGICALS, INCL ANTISPASMODICS",2022-02-14,,"Business reasons",2022-02-15,2022-02-15,No
6822,02425599,Discontinuation,MYLAN-TRAMADOL/ACET,"MYLAN PHARMACEUTICALS ULC",TRAMADOL/ACETAMINOPHEN,"TRAMADOL HYDROCHLORIDE; ACETAMINOPHEN","37.5MG; 325MG",100,ORAL,Discontinued,TABLET,N02AJ,,2017-04-12,,"Business reasons",2017-04-13,2018-02-15,No
20209,02383527,Discontinuation,MYLAN-VALSARTAN,"MYLAN PHARMACEUTICALS ULC",VALSARTAN,VALSARTAN,40MG,100BT,ORAL,Discontinued,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",2018-07-03,2018-07-03,"Business reasons",2017-08-24,2018-07-04,No
20217,02383551,Discontinuation,MYLAN-VALSARTAN,"MYLAN PHARMACEUTICALS ULC",VALSARTAN,VALSARTAN,320MG,100BT,ORAL,Discontinued,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",2018-07-03,2018-07-03,"Business reasons",2017-08-24,2018-07-04,No
20284,02383543,Discontinuation,MYLAN-VALSARTAN,"MYLAN PHARMACEUTICALS ULC",VALSARTAN,VALSARTAN,160MG,100BT,ORAL,Discontinued,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",2017-11-01,2017-11-01,"Business reasons",2017-08-24,2017-11-02,No
44919,02383535,Discontinuation,MYLAN-VALSARTAN,"MYLAN PHARMACEUTICALS ULC",VALSARTAN,VALSARTAN,80MG,"100 BT",ORAL,Discontinued,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",2018-07-03,2018-07-03,"Business reasons",2018-04-04,2018-07-04,No
6827,02373734,Discontinuation,"MYLAN-VALSARTAN HCTZ","MYLAN PHARMACEUTICALS ULC","VALSARTAN HCTZ","HYDROCHLOROTHIAZIDE; VALSARTAN","12.5MG; 80MG",100,ORAL,Discontinued,TABLET,C09DA,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6833,02373742,Discontinuation,"MYLAN-VALSARTAN HCTZ","MYLAN PHARMACEUTICALS ULC","VALSARTAN HCTZ","HYDROCHLOROTHIAZIDE; VALSARTAN","12.5MG; 160MG",100,ORAL,Discontinued,TABLET,C09DA,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6836,02373750,Discontinuation,"MYLAN-VALSARTAN HCTZ","MYLAN PHARMACEUTICALS ULC","VALSARTAN HCTZ","HYDROCHLOROTHIAZIDE; VALSARTAN","25MG; 160MG",100,ORAL,Discontinued,TABLET,C09DA,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6841,02373769,Discontinuation,"MYLAN-VALSARTAN HCTZ","MYLAN PHARMACEUTICALS ULC","VALSARTAN HCTZ","HYDROCHLOROTHIAZIDE; VALSARTAN","12.5MG; 320MG",100,ORAL,Discontinued,TABLET,C09DA,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
6845,02373777,Discontinuation,"MYLAN-VALSARTAN HCTZ","MYLAN PHARMACEUTICALS ULC","VALSARTAN HCTZ","HYDROCHLOROTHIAZIDE; VALSARTAN","25MG; 320MG",100,ORAL,Discontinued,TABLET,C09DA,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",2017-04-12,,"Business reasons",2017-04-13,2017-04-13,No
20259,02310279,Discontinuation,"MYLAN-VENLAFAXINE XR","MYLAN PHARMACEUTICALS ULC","VENLAFAXINE XR",VENLAFAXINE,37.5MG,100BT,ORAL,Discontinued,"CAPSULE (EXTENDED RELEASE)",N06AX,ANTIDEPRESSANTS,2018-02-01,2018-02-01,"Business reasons",2017-08-24,2018-02-15,No
20287,02310287,Discontinuation,"MYLAN-VENLAFAXINE XR","MYLAN PHARMACEUTICALS ULC","VENLAFAXINE XR",VENLAFAXINE,75MG,100BT,ORAL,Discontinued,"CAPSULE (EXTENDED RELEASE)",N06AX,ANTIDEPRESSANTS,2018-02-01,2018-02-01,"Business reasons",2017-08-24,2018-02-15,No
20306,02310295,Discontinuation,"MYLAN-VENLAFAXINE XR","MYLAN PHARMACEUTICALS ULC","VENLAFAXINE XR",VENLAFAXINE,150MG,100BT,ORAL,Discontinued,"CAPSULE (EXTENDED RELEASE)",N06AX,ANTIDEPRESSANTS,2018-07-03,2018-07-03,"Business reasons",2017-08-24,2018-07-04,No
224846,02237921,Discontinuation,MYLAN-VERAPAMIL,"MYLAN PHARMACEUTICALS ULC",Verapamil,"VERAPAMIL HYDROCHLORIDE",80MG,100BT,"ORAL; ORAL",Discontinued,TABLET,C08DA,"SELECTIVE CALC.CHANNEL BLOCK. W/DIRECT CARDIAC EFF",2024-04-11,,"Business reasons",2024-04-11,2024-04-12,No
51647,02369036,Discontinuation,MYLAN-ZOLMITRIPTAN,"MYLAN PHARMACEUTICALS ULC",ZOLMITRIPTAN,ZOLMITRIPTAN,2.5MG,"6 BL",ORAL,Discontinued,TABLET,N02CC,"ANTIMIGRAINE PREPARATIONS",2018-07-03,2018-07-03,"Business reasons",2018-06-06,2018-07-04,No
51653,02387158,Discontinuation,"MYLAN-ZOLMITRIPTAN ODT","MYLAN PHARMACEUTICALS ULC",ZOLMITRIPTAN,ZOLMITRIPTAN,2.5MG,"6 BL",ORAL,Discontinued,"TABLET (ORALLY DISINTEGRATING)",N02CC,"ANTIMIGRAINE PREPARATIONS",2018-07-03,2018-07-03,"Business reasons",2018-06-06,2018-07-04,No
48576,02296616,Discontinuation,MYLAN-ZOPICLONE,"MYLAN PHARMACEUTICALS ULC",ZOPICLONE,ZOPICLONE,5MG,100BT,ORAL,Discontinued,TABLET,N05CF,"HYPNOTICS AND SEDATIVES",2018-05-01,,"Business reasons",2018-05-04,2018-05-04,No
51665,02238596,Discontinuation,MYLAN-ZOPICLONE,"MYLAN PHARMACEUTICALS ULC",ZOPICLONE,ZOPICLONE,7.5MG,"100 BT, 500 BT",ORAL,Discontinued,TABLET,N05CF,"HYPNOTICS AND SEDATIVES",2018-07-03,2018-07-03,"Business reasons",2018-06-06,2018-07-04,No
86067,01927620,Discontinuation,MYOCHRYSINE,"SANOFI-AVENTIS CANADA INC","Myochrysine 10 mg","GOLD SODIUM THIOMALATE",10MG,"5 ampoules",INTRAMUSCULAR,Discontinued,SOLUTION,M01CB,"SPECIFIC ANTIRHEUMATIC AGENTS",2019-06-04,,"Other (Please describe in comments)",2019-06-10,2019-06-10,No
86070,01927612,Discontinuation,MYOCHRYSINE,"SANOFI-AVENTIS CANADA INC","Myochrysine 25mg","GOLD SODIUM THIOMALATE",25MG,"5 ampoules",INTRAMUSCULAR,Discontinued,SOLUTION,M01CB,"SPECIFIC ANTIRHEUMATIC AGENTS",2019-06-04,,"Other (Please describe in comments)",2019-06-10,2019-06-10,No
86073,01927604,Discontinuation,MYOCHRYSINE,"SANOFI-AVENTIS CANADA INC","Myochrysine 50mg","GOLD SODIUM THIOMALATE",50MG,"5 ampoules",INTRAMUSCULAR,Discontinued,SOLUTION,M01CB,"SPECIFIC ANTIRHEUMATIC AGENTS",2019-06-04,,"Other (Please describe in comments)",2019-06-10,2019-06-10,No
19858,02393034,Discontinuation,"NALOXONE HYDROCHLORIDE INJECTION","OMEGA LABORATORIES LTD","Naloxone Hydrochloride Injection","NALOXONE HYDROCHLORIDE",0.4MG,"1mL vial","INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS",Discontinued,SOLUTION,V03AB,"ALL OTHER THERAPEUTIC PRODUCTS",2017-08-18,2017-08-18,"Other (Please describe in comments)",2017-08-18,2017-08-19,No
232646,02162415,Discontinuation,NAPROSYN,"ATNAHS PHARMA UK LIMITED","Naproxen enteric-coated Tablets",NAPROXEN,375MG,100s,"ORAL; ORAL",Discontinued,"TABLET (ENTERIC-COATED)",M01AE,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",2024-07-31,,"Other (Please describe in comments)",2024-07-10,2024-08-01,No
230707,00590762,Discontinuation,"NAPROXEN - 250","PRO DOC LIMITEE",NAPROXEN,NAPROXEN,250MG,100,"ORAL; ORAL",Discontinued,TABLET,M01AE,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",2024-06-17,2024-12-31,"Business reasons",2024-06-17,2024-06-27,No
230716,00618721,Discontinuation,"NAPROXEN - 500","PRO DOC LIMITEE",NAPROXEN,NAPROXEN,500MG,500,"ORAL; ORAL",Discontinued,TABLET,M01AE,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",2024-06-17,2024-10-31,"Business reasons",2024-06-17,2024-06-27,No
71228,02385007,Discontinuation,"NAPROXEN SODIUM TABLETS","APOTEX INC","NAPROXEN TAB 220MG","NAPROXEN SODIUM",220MG,"100 BTL",ORAL,Discontinued,TABLET,M01AE,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",2018-09-20,,"Business reasons",2019-01-04,2019-01-04,No
230710,00655686,Discontinuation,NAPROXEN-375,"PRO DOC LIMITEE",NAPROXEN,NAPROXEN,375MG,100,"ORAL; ORAL",Discontinued,TABLET,M01AE,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",2024-06-17,2025-01-31,"Business reasons",2024-06-17,2024-06-27,No
56681,00887056,Discontinuation,NAPROXEN-NA,"PRO DOC LIMITEE",NAPROXEN,"NAPROXEN SODIUM",275MG,100,ORAL,Reversed,TABLET,M01AE,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",,,"Business reasons",2018-07-26,2019-06-25,No
260037,02229411,Discontinuation,NAROPIN,"ASPEN PHARMACARE CANADA INC.","ropivacaine HCl 2mg/mL 5x100mL SU Polybag®","ROPIVACAINE HYDROCHLORIDE",2MG,"5 PP Polybag","EPIDURAL; BLOCK/INFILTRATION; BLOCK/INFILTRATION; EPIDURAL",Reversed,SOLUTION,N01BB,"ANESTHETICS, LOCAL",2025-06-09,,"Business reasons",2025-06-10,2025-06-09,No
260981,02229411,Discontinuation,NAROPIN,"ASPEN PHARMACARE CANADA INC.","ropivacaine HCl 2mg/mL 5x100mL SU Polybag®","ROPIVACAINE HYDROCHLORIDE",2MG,"5 PP Polybag","EPIDURAL; BLOCK/INFILTRATION; BLOCK/INFILTRATION; EPIDURAL",Discontinued,SOLUTION,N01BB,"ANESTHETICS, LOCAL",2025-05-08,,"Business reasons",2025-06-23,2025-06-23,No
263320,02229411,Discontinuation,NAROPIN,"ASPEN PHARMACARE CANADA INC.","ropivacaine HCl 2mg/mL 5x200mL SU Polybag®","ROPIVACAINE HYDROCHLORIDE",2MG,"5 PP Polybag","EPIDURAL; BLOCK/INFILTRATION; BLOCK/INFILTRATION; EPIDURAL",Discontinued,SOLUTION,N01BB,"ANESTHETICS, LOCAL",2025-05-08,,"Business reasons",2025-07-22,2025-07-22,No
281211,02409011,Discontinuation,NAT-CITALOPRAM,"NATCO PHARMA (CANADA) INC",Citalopram,CITALOPRAM,20MG,"100 bottle","ORAL; ORAL",Discontinued,TABLET,N06AB,ANTIDEPRESSANTS,2024-02-10,,"Business reasons",2026-03-23,2026-03-23,No
281214,02409038,Discontinuation,NAT-CITALOPRAM,"NATCO PHARMA (CANADA) INC",Citalopram,CITALOPRAM,40MG,"30 UD BLS, 100BTL, 500BTL","ORAL; ORAL",Discontinued,TABLET,N06AB,ANTIDEPRESSANTS,2025-02-10,,"Business reasons",2026-03-23,2026-03-23,No
273383,02439557,Discontinuation,NAT-DONEPEZIL,"NATCO PHARMA (CANADA) INC",DONEPEZIL,"DONEPEZIL HYDROCHLORIDE",5MG,"100 BOTTLE","ORAL; ORAL",Discontinued,TABLET,N06DA,"ANTI-DEMENTIA DRUGS",2025-12-05,,"Business reasons",2025-12-05,2025-12-06,No
273387,02439565,Discontinuation,NAT-DONEPEZIL,"NATCO PHARMA (CANADA) INC",DONEPEZIL,"DONEPEZIL HYDROCHLORIDE",10MG,"100 BOTTLE","ORAL; ORAL",Discontinued,TABLET,N06DA,"ANTI-DEMENTIA DRUGS",2025-12-05,,"Business reasons",2025-12-05,2025-12-06,No
275276,02440296,Discontinuation,NAT-ESCITALOPRAM,"NATCO PHARMA (CANADA) INC",ESCITALOPRAM,ESCITALOPRAM,10MG,"100 BOTTLE","ORAL; ORAL",Discontinued,TABLET,N06AB,ANTIDEPRESSANTS,2026-01-05,,"Other (Please describe in comments)",2026-01-06,2026-01-06,No
275279,02440318,Discontinuation,NAT-ESCITALOPRAM,"NATCO PHARMA (CANADA) INC",ESCITALOPRAM,ESCITALOPRAM,20MG,"100 BOTTLE","ORAL; ORAL",Discontinued,TABLET,N06AB,ANTIDEPRESSANTS,2026-01-05,,"Other (Please describe in comments)",2026-01-06,2026-01-06,No
273390,02440202,Discontinuation,NAT-LEVETIRACETAM,"NATCO PHARMA (CANADA) INC",LEVETIRACETAM,LEVETIRACETAM,250MG,"120 BOTTLE","ORAL; ORAL",Discontinued,TABLET,N03AX,ANTIEPILEPTICS,2025-12-05,,"Business reasons",2025-12-05,2025-12-06,No
273434,02440210,Discontinuation,NAT-LEVETIRACETAM,"NATCO PHARMA (CANADA) INC",LEVETIRACETAM,LEVETIRACETAM,500MG,"120 BOTTLE","ORAL; ORAL",Discontinued,TABLET,N03AX,ANTIEPILEPTICS,2025-12-05,,"Business reasons",2025-12-05,2025-12-06,No
273437,02440229,Discontinuation,NAT-LEVETIRACETAM,"NATCO PHARMA (CANADA) INC",LEVETIRACETAM,LEVETIRACETAM,750MG,"120 BOTTLE","ORAL; ORAL",Discontinued,TABLET,N03AX,ANTIEPILEPTICS,2025-12-05,,"Business reasons",2025-12-05,2025-12-06,No
